Engine Capacity (liters),Cylinders,Drive Type,Fuel Tank Capacity (liters),Fuel Economy (L/100 Km),Fuel Type,Horsepower (bhp),Torque (Nm),Transmission,Top Speed (Km/h),Seating Capacity,Acceleration 0-100 Km/h (sec),Length (meters),Width (meters),Height (meters),Wheelbase (meters),Trunk Capacity (liters),name,price,currency
2.5,4,Front Wheel Drive,60,8.1,Petrol,170,233,Automatic,185,5 Seater,9.5,4.673,1.843,1.673,2.705,530,Renault Koleos 2021 2.5L PE,"6,250",KWD
2.0,4,Front Wheel Drive,60,8.6,Petrol,145,200,Automatic,195,5 Seater,12.5,4.688,1.815,1.525,2.710,562,Peugeot 408 2021 2.0L Active,"6,300",KWD
1.8,4,All Wheel Drive,58,8.8,Petrol,177,245,Automatic,180,5 Seater,10.0,4.650,1.850,1.705,2.700,590,Changan CS75 2021 1.8T GDI Full Option (AWD),"7,400",KWD
2.4,N/A,Rear Wheel Drive,75,12.2,Petrol,175,228,Manual,182,3 Seater,14.5,5.150,1.920,1.935,3.200,5190,Hyundai H1 2021 3-Seater Panel Van M/T,"6,400",KWD
1.5,4,Front Wheel Drive,55,5.5,Petrol,150,240,Automatic,212,5 Seater,8.9,4.358,1.823 ,1.484 ,2.649 ,277,Ford Focus 2021 1.5L EcoBoost Sport,"6,400",KWD
1.4,4,Front Wheel Drive,35,5.8,Petrol,100,131,Automatic,182,4 Seater,10.7,3.546,1.627,1.488,2.300,185,Fiat 500 2021 1.4L Lounge,"6,800",KWD
1.4,4,Front Wheel Drive,35,5.8,Petrol,105,131,Automatic,182,4 Seater,10.7,3.546,1.627,1.488,2.300,185,Fiat 500 2021 1.4L Dolcevita ,"7,500",KWD
1.6,4,Front Wheel Drive,60,6.7,Petrol,163,240,Automatic,188,5 Seater,10.8,4.253,1.863,1.472,2.610,470,Peugeot 308 2021 Active,"6,600",KWD
2.5,4,Front Wheel Drive,60,7.3,Petrol,168,230,Automatic,180,5 Seater,10.1,4.524,1.838,1.701,2.690,456,Ford Escape 2021 2.5L S,"6,700",KWD
1.6,N/A,Front Wheel Drive,50,7.5,Petrol,200,265,Automatic,225,4 Seater,7.8,4.220,1.790,1.399,2.650,320,Hyundai Veloster Turbo 2021 1.6L T-GDI,"7,450",KWD
2.7,4,Rear Wheel Drive,80,11.1,Petrol,164,245,Manual,165,6 Seater,11.5,5.330,1.800,1.700,3.085,900,Toyota Hilux 2021 2.7L Double Cab GLX M/T (4x2),"6,900",KWD
2.7,4,Rear Wheel Drive,80,11.1,Petrol,164,245,Manual,165,6 Seater,11.5,5.330,1.800,1.700,3.085,900,Toyota Hilux 2021 2.7L Double Cab GL M/T (4x2),"6,900",KWD
1.6,4,Front Wheel Drive,58,6.8,Petrol,132,163,Automatic,180,5 Seater,11.8,4.525,1.805,1.610,2.750,235,Kia Carens 2021 1.6L Top,"6,900",KWD
1.5,4,Front Wheel Drive,55,5.5,Petrol,150,240,Automatic,212,5 Seater,8.9,4.358,1.823 ,1.484 ,2.649 ,277,Ford Focus 2021 1.5L EcoBoost Titanium,"6,900",KWD
1.4,4,Front Wheel Drive,35,6.3,Petrol,100,131,Automatic,182,4 Seater,11.0,3.546,1.627,1.488,2.300,185,Fiat 500 2021 Convertible 1.4L Lounge,"6,800",KWD
3.5,4,Rear Wheel Drive,65,10.1,Petrol,277,360,Manual,160,3 Seater,17.0,5.265,1.950,1.990,3.210,Null,Toyota Hiace 2021 3.5L GL STD Roof Panel Van (3-Seater),"6,900",KWD
2.5,4,Front Wheel Drive,60,9.0,Petrol,176,233,Automatic,200,5 Seater,9.5,4.570,1.845,1.660,2.660,1085,Toyota Rav4 2021 2.5L (2WD) VX,"7,000",KWD
2.0,4,Front Wheel Drive,62,8.7,Petrol,153,192,Automatic,170,5 Seater,11.5,4.480,1.850,1.655,2.670,515,Hyundai Tucson 2021 2.0L Mid (FWD),"6,250",KWD
2.5,4,Front Wheel Drive,55,9.0,Petrol,176,230,Automatic,210,5 Seater,8.9,4.425,1.780,1.430,2.700,543,Toyota Zelas 2021 2.5L Sport,"7,000",KWD
3.5,6,Rear Wheel Drive,87,10.2,Petrol,292,339,Automatic,160,5 Seater,8.1,5.315,2.459,1.918,3.109,1568,Ford F-150 2021 3.5L Regular Cab XL (2WD),"7,000",KWD
1.4,4,Front Wheel Drive,45,5.2,Petrol,122,200,Automatic,203,4 Seater,8.9,3.954,1.906,1.416,2.469,270,Audi A1 2021 Attraction 1.4L (122 HP),"7,000",KWD
1.4,4,Front Wheel Drive,45,5.2,Petrol,122,200,Automatic,203,4 Seater,8.9,3.954,1.906,1.416,2.469,270,Audi A1 2021 Attraction 1.4L (122 HP),"7,000",KWD
2.5,4,Front Wheel Drive,80,7.7,Diesel,136,330,Manual,160,3 Seater,14.5,5.700,1.998,2.345,3.100,Null,Maxus V80 Cargo Van 2021 2.5L Cargo (M/T),"7,250",KWD
1.5,4,Front Wheel Drive,56,6.7,Petrol,170,275,Automatic,190,5 Seater,9.4,4.650,1.844,1.661,2.725,846,Chevrolet Equinox 2021 1.5T LS (FWD),"6,500",KWD
1.5,4,Front Wheel Drive,56,6.7,Petrol,170,275,Automatic,190,5 Seater,9.4,4.650,1.844,1.661,2.725,846,Chevrolet Equinox 2021 1.5T LT+ (FWD)  ,"7,000",KWD
1.6,4,Front Wheel Drive,53,6.0,Petrol,165,240,Automatic,205,5 Seater,9.0,4.447,1.841,1.615,2.675,520,Peugeot 3008 2021 1.6T Active,"7,100",KWD
2.4,N/A,Rear Wheel Drive,75,12.2,Petrol,175,228,Manual,182,6 Seater,14.5,5.150,1.920,1.935,3.200,3440,Hyundai H1 2021 6-Seater Panel Van M/T,"7,100",KWD
2.4,4,Rear Wheel Drive,75,10.0,Petrol,128,202,Manual,169,6 Seater,11.0,5.300,1.815,1.780,3.000,Null,Mitsubishi L200 2021 2.4L Double Cab GL (2WD),"4,900",KWD
2.4,4,All Wheel Drive,75,8.5,Petrol,128,202,Manual,167,5 Seater,14.5,5.300,1.785,1.775,3.000,Null,Mitsubishi L200 2021 2.4L Double Cab GLX (4WD),"6,000",KWD
2.5,4,Front Wheel Drive,70,9.2,Petrol,178,231,Automatic,194,5 Seater,9.7,4.805,1.825,1.470,2.775,436,Toyota Camry 2021 2.5L S,"7,100",KWD
2.5,4,Front Wheel Drive,60,6.7,Petrol,178,231,Automatic,195,5 Seater,9.3,4.885,1.840,1.445,2.824,427,Toyota Camry 2021 2.5L S (178 HP),"7,100",KWD
3.5,6,Front Wheel Drive,60,7.0,Petrol,298,356,Automatic,235,5 Seater,6.3,4.885,1.840,1.445,2.824,427,Toyota Camry 2021 3.5L LTD (298 HP),"7,100",KWD
3.5,6,Front Wheel Drive,60,7.0,Petrol,298,356,Automatic,235,5 Seater,6.3,4.885,1.840,1.445,2.824,427,Toyota Camry 2021 3.5L Sport (298 HP),"7,100",KWD
2.5,4,Front Wheel Drive,60,6.9,Petrol,178,231,Automatic,195,5 Seater,9.3,4.885,1.840,1.445,2.824,427,Toyota Camry 2021 2.5L LE STD (178 HP),"7,100",KWD
3.0,6,Rear Wheel Drive,70,13.1,Petrol,215,285,Automatic,182,5 Seater,9.2,4.785,1.815,1.800,2.800,131,Mitsubishi Montero Sport 2021 3.0L GLX (2WD) Base,"7,500",KWD
1.6,4,Front Wheel Drive,53,6.1,Petrol,165,240,Automatic,206,7 Seater,9.2,4.641,1.844,1.646,2.840,952,Peugeot 5008 2021 1.6T Active,"7,200",KWD
1.6,4,Front Wheel Drive,53,6.1,Petrol,165,240,Automatic,206,7 Seater,9.2,4.641,1.844,1.646,2.840,952,Peugeot 5008 2021 1.6T Active,"7,200",KWD
2.4,4,All Wheel Drive,80,8.3,Diesel,147,400,Automatic,170,5 Seater,13.2,5.330,1.800,1.700,3.085,Null,Toyota Hilux 2021 2.4L Double Cab 4x4,"7,200",KWD
2.4,4,All Wheel Drive,80,8.3,Diesel,147,400,Automatic,170,5 Seater,13.2,5.330,1.800,1.700,3.085,Null,Toyota Hilux 2021 2.4L Double Cab 4x4 (Top Spec),"7,200",KWD
2.7,4,Rear Wheel Drive,80,10.9,Petrol,164,245,Automatic,170,3 Seater,12.9,5.330,1.800,1.700,3.085,Null,Toyota Hilux 2021 2.7L Single Cab 4x2,"7,200",KWD
2.0,4,Rear Wheel Drive,80,10.0,Petrol,134,182,Automatic,170,3 Seater,16.0,5.330,1.800,1.700,3.085,Null,Toyota Hilux 2021 2.0L Single Cab 4x2,"7,200",KWD
2.0,4,Rear Wheel Drive,80,10.0,Petrol,134,182,Automatic,170,3 Seater,16.0,5.330,1.800,1.700,3.085,Null,Toyota Hilux 2021 2.0L Single Cab 4x2 (Top Spec),"7,200",KWD
2.0,4,Rear Wheel Drive,80,10.0,Petrol,134,182,Automatic,170,3 Seater,16.0,5.330,1.800,1.700,3.085,Null,Toyota Hilux 2021 2.0L Double Cab 4x2 (Top Spec),"7,200",KWD
2.0,4,Rear Wheel Drive,80,10.0,Petrol,134,182,Automatic,170,3 Seater,16.0,5.330,1.800,1.700,3.085,Null,Toyota Hilux 2021 2.0L Double Cab 4x2,"7,200",KWD
2.7,4,All Wheel Drive,80,10.9,Petrol,164,245,Manual,170,3 Seater,12.9,5.330,1.800,1.700,3.085,Null,Toyota Hilux 2021 2.7L Single Cab GLX (4x4),"7,200",KWD
2.7,4,All Wheel Drive,80,10.7,Petrol,164,245,Manual,165,5 Seater,11.9,5.335,1.815,1.815,3.090,Null,Toyota Hilux 2021 2.7L Double Cab GL M/T (4x4),"7,200",KWD
2.7,4,All Wheel Drive,80,10.7,Petrol,164,245,Manual,165,5 Seater,11.9,5.335,1.815,1.815,3.090,Null,Toyota Hilux 2021 2.7L Double Cab GLX M/T (4x4),"7,200",KWD
4.0,6,All Wheel Drive,80,13.0,Petrol,235,375,Automatic,182,5 Seater,8.2,5.330,1.855,1.815,3.085,Null,Toyota Hilux 2021 4.0L Double Cab TRD (4x4),"7,200",KWD
2.4,4,Rear Wheel Drive,80,7.5,Diesel,147,342,Manual,165,6 Seater,13.1,5.335,1.815,1.815,3.090,900,Toyota Hilux 2021 2.4L Double Cab DLS M/T (4x2),"7,200",KWD
2.5,4,Front Wheel Drive,60,9.0,Petrol,176,233,Automatic,200,5 Seater,9.5,4.570,1.845,1.660,2.660,1085,Toyota Rav4 2021 2.5L (2WD) EX,"7,200",KWD
2.4,4,Rear Wheel Drive,75,8.5,Diesel,136,324,Manual,167,5 Seater,14.5,5.205,1.785,1.775,3.000,Null,Mitsubishi L200 2021 2.4L Double Cab GLX Diesel (4WD),"6,300",KWD
1.6,4,Front Wheel Drive,60,6.7,Petrol,163,240,Automatic,188,5 Seater,10.8,4.253,1.863,1.472,2.610,470,Peugeot 308 2021 Allure,"7,200",KWD
1.6,4,Front Wheel Drive,60,6.7,Petrol,163,240,Automatic,188,5 Seater,10.8,4.253,1.863,1.472,2.610,470,Peugeot 308 2021 Allure,"7,200",KWD
2.0,4,Front Wheel Drive,62,7.2,Petrol,247,360,Manual,248,5 Seater,6.5,4.362,1.823,1.471,2.649,277,Ford Focus 2021 2.0L ST,"7,300",KWD
1.8,4,Front Wheel Drive,40,4.4,Hybrid,121,140,Automatic,170,5 Seater,10,4.540,1.760,1.470,2.700,502,Toyota Prius 2021 Eco,"7,300",KWD
2.0,4,Front Wheel Drive,70,7.9,Petrol,198,300,Automatic,200,4 Seater,9.0,5.003,1.910,1.508,2.907,500,GAC GA8 2021 2.0T GE,"8,111",KWD
2.5,4,All Wheel Drive,60,10.5,Petrol,170,235,Automatic,180,5 Seater,11.5,4.595,1.796,1.686,2.640,974,Subaru Forester 2021 2.5i,"7,400",KWD
2.4,N/A,Front Wheel Drive,57,6.4,Petrol,184,244,CVT,200,5 Seater,9.8,4.586,1.855,1.678,2.660,Null,Honda CR-V 2021 LX (2WD),"7,150",KWD
2.4,N/A,Front Wheel Drive,57,6.4,Petrol,184,244,CVT,200,5 Seater,9.8,4.586,1.855,1.678,2.660,Null,Honda CR-V 2021 DX (2WD),"6,777",KWD
1.5,4,Front Wheel Drive,45,5.8,Petrol,180,220,Automatic,210,5 Seater,8.4,4.575,1.755,1.435,2.670,478,Honda Civic 2021 1.5 RS,"8,800",KWD
1.5,4,Front Wheel Drive,56,6.7,Petrol,170,275,Automatic,200,5 Seater,9.2,4.630,1.839,1.661,2.725,838,GMC Terrain 2021 1.5T SLE (FWD),"7,900",KWD
2.0,4,All Wheel Drive,59,7.4,Petrol,252,352,Automatic,200,5 Seater,7.5,4.630,1.839,1.661,2.725,838,GMC Terrain Denali 2021 2.0T (AWD),"11,400",KWD
2.4,N/A,Rear Wheel Drive,75,14.5,Petrol,175,228,Automatic,182,9 Seater,17.0,5.150,1.920,1.925,3.200,Null,Hyundai H1 2021 9-Seater Wagon A/T Base,"7,700",KWD
2.3,4,All Wheel Drive,80,10.0,Petrol,231,350,Automatic,150,4 Seater,15.1,4.350,1.843,1.834,2.450,276,BAIC BJ40 2021 2.3L Turbo (3-door) Luxury,"6,450",KWD
2.5,4,All Wheel Drive,60,8.3,Petrol,170,233,Automatic,199,5 Seater,9.8,4.673,1.843,1.673,2.705,530,Renault Koleos 2021 2.5L SE (4WD),"7,750",KWD
2.5,4,Front Wheel Drive,61.3,6.3,Petrol,188,244,CVT,220,5 Seater,8.0,4.869,1.850,1.440,2.825,517,Nissan Altima 2021 2.5 S,"5,999",KWD
2.0,4,All Wheel Drive,63,7.3,Petrol,150,196,CVT,194,5 Seater,10.4,4.465,1.800,1.615,2.665,1240,Subaru XV 2021 2.0L-S EyeSight ,"8,199",KWD
2.7,4,Rear Wheel Drive,70,10.5,Petrol,158,243,Manual,160,3 Seater,17.5,5.380,1.880,2.285,3110,9800,Toyota Hiace 2021 2.7L Panel Van High Roof LWB,"7,800",KWD
2.7,4,All Wheel Drive,80,8.5,Petrol,164,245,Automatic,170,5 Seater,12.9,5.330,1.800,1.700,3.085,Null,Toyota Hilux 2021 2.7L Double Cab 4x4,"7,900",KWD
1.0,3,Front Wheel Drive,50,4.7,Petrol,116,200,Automatic,211,5 Seater,9.9,4.458,1.796,1.416,2.637,425,Audi A3 Sedan 2021 Basic 30 1.0 TFSI (116 HP),"7,900",KWD
2.3,4,All Wheel Drive,80,10.0,Petrol,231,350,Automatic,150,5 Seater,15.1,4.630,1.843,1.861,2.730,532,BAIC BJ40 2021 2.3L Turbo (5-door) Luxury,"10,450",KWD
2.5,4,All Wheel Drive,60,9.0,Petrol,176,233,Automatic,200,5 Seater,9.5,4.570,1.845,1.660,2.660,1085,Toyota Rav4 2021 2.5L 4WD EXR,"7,999",KWD
2.0,4,Rear Wheel Drive,50 ,7.1,Petrol,200,205 ,Manual,226 ,4 Seater,7.6,4.240 ,1.775 ,1.425 ,2.570 ,244,Toyota 86 2021 GT,"7,999",KWD
2.4,4,All Wheel Drive,70,9.6,Petrol,170,225,Automatic,189,7 Seater,10.0,4.780,1.890,1.690,2.780,1050,Kia Sorento 2021 2.4L Base (AWD),"8,000",KWD
3.3,6,Front Wheel Drive,70,10.1,Petrol,290,342,Automatic,200,7 Seater,8.7,4.801,1.890,1.684,2.770,1050,Kia Sorento 2021 3.3L Base (FWD),"8,000",KWD
1.6,4,Front Wheel Drive,53,6.0,Petrol,165,240,Automatic,205,5 Seater,9.0,4.447,1.841,1.615,2.675,520,Peugeot 3008 2021 1.6T GT Line,"8,000",KWD
1.6,4,Front Wheel Drive,53,6.0,Petrol,165,240,Automatic,205,5 Seater,9.0,4.447,1.841,1.615,2.675,520,Peugeot 3008 2021 1.6T Allure,"8,000",KWD
2.7,4,Rear Wheel Drive,65,10.8,Petrol,164,250,Automatic,170,7 Seater,11.7,4.735,1.830,1.795,2.750,184,Toyota Innova 2021 2.7L Limited,"8,000",KWD
2.5,4,Front Wheel Drive,60,7.3,Petrol,168,230,Automatic,180,5 Seater,10.1,4.524,1.838,1.684,2.690,456,Ford Escape 2021 2.5L SE,"8,000",KWD
2.0,4,Front Wheel Drive,69.6,13.8,Petrol,250,377,Automatic,200,5 Seater,7.5,4795,2179,1735,2850,1111,Ford Edge 2021 Ambient ,"8,000",KWD
2.0,4,Front Wheel Drive,69.6,13.8,Petrol,250,377,Automatic,200,5 Seater,7.5,4795,2179,1735,2850,1111,Ford Edge 2021 Ambient ,"8,000",KWD
1.4,N/A,Front Wheel Drive,50,5.2,Petrol,140,250,Automatic,219,5 Seater,8.5,4.670,1.814,1.461,2.686,590,Skoda Octavia 2021 1.4 TSI Style,"8,000",KWD
2.5,4,Front Wheel Drive,62,8.8,Petrol,171,237,Automatic,200,5 Seater,9.5,4.872,2.121,1.482,2.850,453,Ford Fusion 2021 2.5L SE,"8,000",KWD
3.5,6,Front Wheel Drive,70,9.1,Petrol,290,345,Automatic,200,7 Seater,9.5,5.126,1.928,1.727,2.995,1223,Ford Flex 2021 3.5L SE,"8,000",KWD
1.4,4,Front Wheel Drive,50,5.0,Petrol,122,200,Automatic,212,5 Seater,9.3,4.456,1.960,1.416,2.637,425,Audi A3 Sedan 2021 Attraction 1.4 (122 HP),"8,000",KWD
1.4,4,Front Wheel Drive,50,5.0,Petrol,122,200,Automatic,212,5 Seater,9.3,4.456,1.960,1.416,2.637,425,Audi A3 Sedan 2021 Ambition 1.4 (122 HP),"8,000",KWD
1.4,4,Front Wheel Drive,45,5.3,Petrol,122,200,Automatic,203,4 Seater,8.9,3.954,1.906,1.416,2.469,270,Audi A1 2021 Ambition 1.4L (122 HP),"8,000",KWD
2.0,N/A,Rear Wheel Drive,50,7.8,Petrol,200,205,Manual,226,4 Seater,7.6,4.234 ,1.775,1.285,2.570,195,Subaru BRZ 2021 2.0L M/T,"7,899",KWD
1.8,4,Front Wheel Drive,40,4.4,Hybrid,121,140,Automatic,170,5 Seater,10,4.540,1.760,1.470,2.700,502,Toyota Prius 2021 Iconic,"8,000",KWD
2.5,4,Rear Wheel Drive,65,12.0,Petrol,147,213,Manual,170,3 Seater,16.0,4.695,1.695,1.990,2.555,6000,Nissan Urvan 2021 3-Seater Manual (5-Door),"6,850",KWD
3.5,6,All Wheel Drive,88,13.0,Petrol,189,306,Automatic,180,7 Seater,12.7,4.900,1.875,1.870,2.780,1081,Mitsubishi Pajero 2021 3.5L GLX 5 Door Base,"8,100",KWD
3.5,6,All Wheel Drive,88,13.0,Petrol,189,306,Automatic,180,7 Seater,12.7,4.900,1.875,1.870,2.780,1081,Mitsubishi Pajero 2021 3.5L GLS 5 Door,"8,300",KWD
2.5,4,Front Wheel Drive,61.3,6.3,Petrol,188,244,CVT,220,5 Seater,8.0,4.869,1.850,1.440,2.825,517,Nissan Altima 2021 2.5 SV,"7,499",KWD
2.5,4,Front Wheel Drive,61.3,6.3,Petrol,188,244,CVT,220,5 Seater,8.0,4.869,1.850,1.440,2.825,517,Nissan Altima 2021 2.5 SV,"7,499",KWD
3.3,6,All Wheel Drive,70,10.3,Petrol,290,342,Automatic,200,7 Seater,8.5,4.801,1.890,1.684,2.770,1050,Kia Sorento 2021 3.3L Base (AWD),"8,200",KWD
2.4,4,Front Wheel Drive,70,9.5,Petrol,170,225,Automatic,189,7 Seater,10.2,4.780,1.890,1.690,2.780,1050,Kia Sorento 2021 2.4L Top (FWD),"8,200",KWD
2.4,4,Rear Wheel Drive,75,14.0,Petrol,175,228,Automatic,182,12 Seater,17.0,5.150,1.920,1.925,3.200,Null,Hyundai H1 2021 12-Seater Wagon A/T High,"8,200",KWD
2.5,4,Rear Wheel Drive,75,14.5,Diesel,99,226,Manual,170,12 Seater,17.5,5.150,1.920,1.925,3.200,Null,Hyundai H1 2021 2.5 GLS M/T (12-seater),"8,200",KWD
2.5,4,Front Wheel Drive,70,9.2,Petrol,178,231,Automatic,194,5 Seater,9.7,4.805,1.825,1.470,2.775,436,Toyota Camry 2021 2.5L GLX,"8,200",KWD
1.0,3,Front Wheel Drive,50,4.7,Petrol,116,200,Automatic,211,5 Seater,9.9,4.458,1.796,1.416,2.637,425,Audi A3 Sedan 2021 30 TFSI (116 HP),"8,300",KWD
1.0,3,Front Wheel Drive,50,4.7,Petrol,116,200,Automatic,211,5 Seater,9.9,4.458,1.796,1.416,2.637,425,Audi A3 Sedan 2021 30  TFSI Sport (116 HP),"8,300",KWD
2.5,4,All Wheel Drive,60,8.5,Petrol,168,235,Automatic,196,5 Seater,9.9,4.595,1.796,1.686,2.640,974,Subaru Forester 2021 2.5i Premium,"8,300",KWD
3.5,6,Front Wheel Drive,72,10.2,Petrol,288,345,Automatic,200,5 Seater,7.6,5.153,2.177,1.541,2.868,569,Ford Taurus 2021 3.5L V6 SE,"8,400",KWD
2.4,4,All Wheel Drive,48,7.8,Petrol,184,240,Automatic,175,5 Seater,9.0,4.230,1.800,1.690,2.570,1438 (2nd row folded),Jeep Renegade 2021 2.4L Longitude 4x2,"6,777",KWD
1.4,4,Front Wheel Drive,50,4.9,Petrol,125,200,Automatic,206,5 Seater,9.3,4.310,1.785,1.425,2.636,380,Audi A3 Sportback 2021 Ambition 1.4 TFSI,"8,400",KWD
1.6,4,Front Wheel Drive,60,7.7,Petrol,156,240,Automatic,195,7 Seater,9.8,4.529,1.888,1.647,2.727,679,Peugeot 5008 2021 1.6T Premium,"8,500",KWD
3.3,6,Front Wheel Drive,70,9.4,Petrol,284,336,Automatic,235,5 Seater,7.2,4.970,1.870,1.470,2.855,451,Kia Cadenza 2021 3.3L GDi Mid,"8,600",KWD
2.7,4,All Wheel Drive,80,12.4,Petrol,164,245,Automatic,180,7 Seater,12.0,4.795,1.855,1.835,2.750,348,Toyota Fortuner 2021 2.7L EXR,"8,700",KWD
2.5,4,Front Wheel Drive,60,6.7,Petrol,178,231,Automatic,195,5 Seater,9.3,4.905,1.840,1.445,2.824,427,Toyota Camry 2021 2.5L Sport (178 HP),"8,700",KWD
2.4,4,Front Wheel Drive,55,9.2,Petrol,172,225,Automatic,170,8 Seater,11.2,4.830,1.800,1.695,2.900,1087,Honda Odyssey J 2021 2.4 EX,"7,777",KWD
2.5,N/A,Rear Wheel Drive,80,12.1,Petrol,168,244,Automatic,160,5 Seater,11.6,5.255,1.850,1.825,3.150,Null,Nissan Navara 2021 CSF 4x2  A/T,"7,100",KWD
1.0,3,Front Wheel Drive,50,4.4,Petrol,116,200,Automatic,190,5 Seater,10.5,4.191,1.794,1.508,2.601,405,Audi Q2 2021 30 TFSI Basic (116 HP),"8,760",KWD
2.5,4,Rear Wheel Drive,65,12.5,Petrol,147,213,Automatic,170,3 Seater,15.0,4.695,1.695,1.990,2.555,6000,Nissan Urvan 2021 3-Seater Automatic (5-Door),"7,850",KWD
1.4,4,Front Wheel Drive,50,5.0,Petrol,150,250,Automatic,224,5 Seater,8.2,4.458,1.796,1.416,2.637,425,Audi A3 Sedan 2021 Design 35 1.4 TFSI (150 HP),"8,800",KWD
1.4,4,Front Wheel Drive,50,5.0,Petrol,150,250,Automatic,224,5 Seater,8.2,4.458,1.796,1.416,2.637,425,Audi A3 Sedan 2021 35 TFSI Sport (150 HP),"8,800",KWD
2.0,N/A,Rear Wheel Drive,50,8.0,Petrol,200,205,Automatic,210,4 Seater,8.2,4.234 ,1.775,1.285,2.570,195,Subaru BRZ 2021 2.0L A/T,"8,199",KWD
3.5,N/A,Front Wheel Drive,74,10.6,Petrol,271,340,Automatic,190,7 Seater,8.0,5.008,1.960,1.783,2.900,453,Nissan Pathfinder 2021 3.5L S 2WD ,"9,749",KWD
3.5,N/A,Front Wheel Drive,74,10.6,Petrol,271,340,Automatic,190,7 Seater,8.0,5.008,1.960,1.783,2.900,453,Nissan Pathfinder 2021 3.5L SV 2WD  ,"11,749",KWD
3.8,6,All Wheel Drive,82,12.7,Petrol,270,362,Automatic,200,7 Seater,9.0,4.880,1.915,1.810,2.895,331,Kia Mohave 2021 3.8L Base,"8,900",KWD
2.0,4,Front Wheel Drive,62,8.9,Petrol,240,365,Automatic,200,5 Seater,7.8,4.872,2.121,1.478,2.850,453,Ford Fusion 2021 2.0L SE,"8,900",KWD
2.4,4,All Wheel Drive,70,9.6,Petrol,170,225,Automatic,189,7 Seater,10.0,4.780,1.890,1.690,2.780,1050,Kia Sorento 2021 2.4L Top (AWD),"9,000",KWD
2.4,4,All Wheel Drive,70,9.6,Petrol,170,225,Automatic,189,7 Seater,10.0,4.780,1.890,1.690,2.780,1050,Kia Sorento 2021 2.4L Top (AWD),"9,000",KWD
2.5,4,All Wheel Drive,60,8.3,Petrol,170,233,Automatic,199,5 Seater,9.8,4.673,1.843,1.673,2.705,530,Renault Koleos 2021 2.5L LE (4WD),"9,250",KWD
2.5,4,Front Wheel Drive,60,9.4,Petrol,176,233,Automatic,200,5 Seater,8.6,4.570,1.845,1.660,2.660,1085,Toyota Rav4 2021 2.5L 4WD GX,"9,000",KWD
2.5,4,Front Wheel Drive,60,9.4,Petrol,176,233,Automatic,200,5 Seater,8.6,4.570,1.845,1.660,2.660,1085,Toyota Rav4 2021 2.5L 4WD GXR,"9,000",KWD
1.4,4,Front Wheel Drive,58,6.9,Petrol,150,250,Automatic,200,5 Seater,9.2,4.486,1.839,1.632,2.681,615,Volkswagen Tiguan 2021 1.4L S,"8,500",KWD
4.0,6,All Wheel Drive,72,12.6,Petrol,270,380,Manual,180,5 Seater,8.2,4.670,1.905,1.830,2.690,790,Toyota FJ Cruiser 2021 4.0L EXR,"9,000",KWD
1.8,4,Front Wheel Drive,50,5.6,Petrol,180,250,Automatic,242,5 Seater,7.3,4.456,1.960,1.416,2.637,425,Audi A3 Sedan 2021 Ambition 1.8 (180 HP),"9,000",KWD
2.5,4,All Wheel Drive,60,8.5,Petrol,168,235,Automatic,196,5 Seater,9.9,4.595,1.796,1.686,2.640,974,Subaru Forester 2021 2.5i Sport,"9,000",KWD
2.0,4,Rear Wheel Drive,50,7.0,Petrol,197,205,Manual,210,4 Seater,7.6,4.240 ,1.775 ,1.320,2.570 ,244,Toyota 86 2021 GTX,"9,000",KWD
2.0,4,Rear Wheel Drive,50 ,7.1,Petrol,200,205 ,Automatic,226 ,4 Seater,7.6,4.240 ,1.775 ,1.425 ,2.570 ,244,Toyota 86 2021 VT,"9,000",KWD
2.4,4,All Wheel Drive,62,9.5,Petrol,181,237,Automatic,180,5 Seater,10.0,4.480,1.850,1.655,2.670,515,Hyundai Tucson 2021 2.4L GDI Mid (AWD),"6,950",KWD
1.8,4,Front Wheel Drive,50,5.6,Petrol,180,250,Automatic,232,5 Seater,7.3,4.310,1.786,1.426,2.636,380,Audi A3 Sportback 2021 Ambition 1.8 TFSI,"9,200",KWD
1.0,3,Front Wheel Drive,50,4.4,Petrol,116,200,Automatic,190,5 Seater,10.5,4.191,1.794,1.508,2.601,405,Audi Q2 2021 30 TFSI Design (116 HP),"9,250",KWD
1.0,3,Front Wheel Drive,50,4.4,Petrol,116,200,Automatic,190,5 Seater,10.5,4.191,1.794,1.508,2.601,405,Audi Q2 2021 30 TFSI Sport (116 HP),"9,250",KWD
3.5,6,Front Wheel Drive,70,9.0,Petrol,268,336,Automatic,228,5 Seater,7.2,4.825,1.820,1.470,2.800,504,Toyota Aurion 2021 3.5L Sport,"9,300",KWD
2.4,4,Front Wheel Drive,65,9.2,Petrol,168,225,Automatic,185,8 Seater,11.5,4.795,1.800,1.750,2.950,1107,Toyota Previa 2021 2.4L S,"9,300",KWD
2.4,4,Front Wheel Drive,65,9.2,Petrol,168,225,Automatic,185,8 Seater,11.5,4.795,1.800,1.750,2.950,1107,Toyota Previa 2021 2.4L S,"9,300",KWD
3.0,6,All Wheel Drive,70,13.6,Petrol,215,285,Automatic,182,7 Seater,9.7,4.785,1.815,1.800,2.800,131,Mitsubishi Montero Sport 2021 3.0L GLX (4WD) mid ,"7,999",KWD
