Engine Capacity (liters),Cylinders,Drive Type,Fuel Tank Capacity (liters),Fuel Economy (L/100 Km),Fuel Type,Horsepower (bhp),Torque (Nm),Transmission,Top Speed (Km/h),Seating Capacity,Acceleration 0-100 Km/h (sec),Length (meters),Width (meters),Height (meters),Wheelbase (meters),Trunk Capacity (liters),name,price,currency
1.4,N/A,Front Wheel Drive,35,5.8,Petrol,100,131,Automatic,182,4 Seater,11.0,3.546,1.627,1.488,2.300,185,Fiat 500 2021 Convertible 1.4L Pop,"94,490",SAR
1.4,N/A,Front Wheel Drive,35,5.8,Petrol,100,131,Automatic,182,4 Seater,11.0,3.546,1.627,1.488,2.300,185,Fiat 500 2021 Convertible 1.4L Pop,"94,490",SAR
2.5,4,Front Wheel Drive,60,6.9,Petrol,178,231,Automatic,195,5 Seater,9.3,4.885,1.840,1.445,2.824,427,Toyota Camry 2021 2.5L LE STD (178 HP),"95,406",SAR
2.0,4,All Wheel Drive,62,8.7,Petrol,153,192,Automatic,170,5 Seater,11.5,4.480,1.850,1.655,2.670,515,Hyundai Tucson 2021 2.0L (AWD) ,"87,890",SAR
1.6,4,Front Wheel Drive,50,6.6,Petrol,115,156,Automatic,180,5 Seater,13.2,4.632,1.814,1.443,2.711,503,Renault Megane 2021 1.6L PE,"57,635",SAR
2.0,4,Front Wheel Drive,50,7.7,Petrol,140,193,Automatic,209,5 Seater,9.9,4.632,1.814,1.443,2.711,503,Renault Megane 2021 2.0L PE,"69,185",SAR
2.4,4,Front Wheel Drive,75,10.2,Petrol,140,210,Manual,160,2 Seater,11.0,5.168,1.980,1.928,3.198,4410,Maxus G10 Cargo 2021 2.4L Cargo Van,"73,700",SAR
1.5,4,Front Wheel Drive,63,7.0,Petrol,147,250,Automatic,200,5 Seater,9.8,4.405,1.805,1.685,2.670,378,Mitsubishi Eclipse Cross 2021 1.5T GLS (Full Option),"95,700",SAR
1.8,4,All Wheel Drive,53,7.4,Petrol,140,175,Automatic,180,5 Seater,11.1,4.257,1.775,1.646,2.555,530,Chevrolet Trax 2021 1.8L Premier AWD,"96,250",SAR
2.5,4,Front Wheel Drive,60,6.9,Petrol,205,249,Automatic,195,5 Seater,8.3,4.885,1.840,1.445,2.824,427,Toyota Camry 2021 2.5L LE (204 HP),"97,798",SAR
1.8,4,Front Wheel Drive,52,6.9,Petrol,130,174,Automatic,185,5 Seater,9.7,4.615,1.760,1.495,2.700,510,Nissan Sentra 2021 1.8L S,"97,350",SAR
2.0,4,All Wheel Drive,55,9.0,Petrol,170,207,CVT,200,5 Seater,9.5,4.600 ,1.855 ,1.685 ,2.690 ,1085,Toyota Rav4 2021 2.0L LE AWD,"101,896",SAR
2.0,4,All Wheel Drive,55,9.0,Petrol,170,207,CVT,200,5 Seater,9.5,4.600 ,1.855 ,1.685 ,2.690 ,1085,Toyota Rav4 2021 2.0L XLE AWD ,"117,266",SAR
1.5,4,Front Wheel Drive,56,6.7,Petrol,170,275,Automatic,190,5 Seater,9.4,4.650,1.844,1.661,2.725,846,Chevrolet Equinox 2021 1.5T LS (FWD),"90,899",SAR
2.4,N/A,Rear Wheel Drive,75,14.5,Petrol,175,228,Automatic,182,9 Seater,17.0,5.150,1.920,1.925,3.200,Null,Hyundai H1 2021 9-Seater Wagon A/T Base,"98,450",SAR
2.4,N/A,Rear Wheel Drive,75,14.5,Petrol,175,228,Automatic,182,9 Seater,17.0,5.150,1.920,1.925,3.200,Null,Hyundai H1 2021 9-Seater Wagon A/T Mid,"98,450",SAR
2.5,4,All Wheel Drive,60,6.5,Petrol,169,233,CVT,170,7 Seater,11.0,4.690,1.830,1.740,2.705,135,Nissan X-Trail 2021 SV X-Treamer AWD (7-Seater),"104,412",SAR
2.5,4,All Wheel Drive,60,6.5,Petrol,169,233,CVT,170,7 Seater,11.0,4.690,1.830,1.740,2.705,135,Nissan X-Trail 2021 SV X-Treamer AWD (7-Seater),"104,412",SAR
2.4,4,All Wheel Drive,80,6.8,Diesel,147,400,Manual,175,6 Seater,13.2,5.335,1.815,1.815,3.090,900,Toyota Hilux 2021 2.4L GL 2 Double Cab DSL M/T (4x4),"116,035",SAR
1.6,4,All Wheel Drive,50,7.0,Petrol,175,265,Automatic,205,5 Seater,7.9,4.165,1.801,1.565,2.600,544,Hyundai Kona 2021 1.6L T-GDI GLS Premium (AWD) ,"101,860",SAR
1.6,4,All Wheel Drive,50,7.0,Petrol,175,265,Automatic,205,5 Seater,7.9,4.165,1.801,1.565,2.600,544,Hyundai Kona 2021 1.6L T-GDI GLS Premium Sunroof (AWD) ,"102,190",SAR
